room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
18932437,1440,131970494,Entire home/apt,,Houston,,GREATER HEIGHTS,0,0.0,7,3.0,,300.0,,Comfortable and Modern Design House,2017-07-13 15:16:00.122862,29.784836,-95.371679,0101000020E61000000A67B796C9D757C034B91803EBC83D40
16963627,1440,65980252,Entire home/apt,,Houston,,NEARTOWN - MONTROSE,0,0.0,4,0.0,,300.0,,"Great Place, Great Location!",2017-07-13 15:16:00.103666,29.760807,-95.405806,0101000020E610000051A1BAB9F8D957C060915F3FC4C23D40
16700372,1440,35254079,Entire home/apt,,Houston,,WASHINGTON AVENUE COALITION / MEMORIAL PARK,0,0.0,7,3.0,,205.0,,3BR/2BA - 10 Miles From NRG Stadium!,2017-07-13 15:15:58.705959,29.771753,-95.412504,0101000020E6100000075E2D7766DA57C00397C79A91C53D40
5238687,1440,27110386,Entire home/apt,,Houston,,NEAR NORTHSIDE,2,0.0,4,3.0,,299.0,,Super Bowl Rental,2017-07-13 15:15:58.687613,29.814279,-95.369016,0101000020E6100000D9EC48F59DD757C0D0D1AA9674D03D40
13820150,1440,67753679,Entire home/apt,,Houston,,GREATER HEIGHTS,0,0.0,4,2.0,,250.0,,Luxury Zen Home in The Heights Houston,2017-07-13 15:15:58.673212,29.797363,-95.415133,0101000020E6100000629F008A91DA57C05B0A48FB1FCC3D40
16255266,1440,103104686,Entire home/apt,,Houston,,NEARTOWN - MONTROSE,0,0.0,6,2.0,,176.0,,Vibrant 2BR Houston House - Close to Downtown,2017-07-13 15:10:44.316870,29.746256,-95.387451,0101000020E61000005C7347FFCBD857C09B711AA20ABF3D40
15256295,1440,27703831,Entire home/apt,,Houston,,GREENWAY / UPPER KIRBY AREA,0,0.0,6,2.0,,154.0,,Entire apartment. Prime location,2017-07-13 15:10:37.771975,29.736316,-95.439239,0101000020E61000002D08E57D1CDC57C0838593347FBC3D40
18584983,1440,35344586,Entire home/apt,,Houston,,BRAESWOOD,0,0.0,5,2.0,,148.0,,Luxury Apartment at Medical Center,2017-07-13 15:10:34.631171,29.704552,-95.423057,0101000020E610000002D6AA5D13DB57C0D65416855DB43D40
16143584,1440,80075942,Entire home/apt,,Houston,,FORT BEND HOUSTON,1,0.0,6,3.0,,145.0,,GREAT LOCATION FOR 2017 SUMMER VACATIONS,2017-07-13 15:10:29.989042,29.602839,-95.493886,0101000020E6100000F27C06D49BDF57C0DBC01DA8539A3D40
16840426,1440,112110143,Entire home/apt,,Houston,,MEYERLAND AREA,1,0.0,6,2.0,,150.0,,Apartment 4.5 miles from NRG Stadium,2017-07-13 15:10:28.735767,29.678709,-95.479919,0101000020E6100000A86E2EFEB6DE57C039807EDFBFAD3D40
12813152,1440,29348572,Entire home/apt,,Houston,,GREATER UPTOWN,0,0.0,2,1.0,,150.0,,Modern Living in the Galleria Area,2017-07-13 15:10:14.618049,29.745308,-95.464246,0101000020E610000020D3DA34B6DD57C07A724D81CCBE3D40
11080936,1440,6197475,Entire home/apt,,Houston,,WASHINGTON AVENUE COALITION / MEMORIAL PARK,45,5.0,8,3.0,,175.0,,Spacious Downtown Historic Home,2017-07-13 15:10:11.108732,29.76529,-95.375262,0101000020E61000009F5BE84A04D857C0B2F4A10BEAC33D40
14834317,1440,59083262,Entire home/apt,,Houston,,WASHINGTON AVENUE COALITION / MEMORIAL PARK,9,5.0,10,3.0,,175.0,,3 Story Townhouse off Washington,2017-07-13 15:10:07.887740,29.77336,-95.404538,0101000020E610000050FF59F3E3D957C0D908C4EBFAC53D40
16686158,1440,19240027,Entire home/apt,,Houston,,SOUTH MAIN,0,0.0,5,1.0,,150.0,,***Super Bowl City***,2017-07-13 15:09:59.885046,29.676207,-95.423701,0101000020E61000001492CCEA1DDB57C08753E6E61BAD3D40
14008614,1440,2684533,Entire home/apt,,Houston,,MACGREGOR,0,0.0,3,1.0,,144.0,,Hermann Park  1x1 SUPER Luxury 307,2017-07-13 15:09:58.794112,29.717258,-95.380041,0101000020E6100000E8887C9752D857C05CCB64389EB73D40
5926790,1440,30773159,Entire home/apt,,Houston,,GREATER UPTOWN,6,4.5,2,1.0,,175.0,,20th Floor Apartment in Galleria ,2017-07-13 15:09:58.789358,29.741552,-95.468561,0101000020E610000096CB46E7FCDD57C08C48145AD6BD3D40
16493859,1440,10216006,Entire home/apt,,Houston,,DOWNTOWN,1,0.0,2,1.0,,150.0,,❤️ LUXURY DOWNTOWN HOUSTON APARTMENT  ❤️,2017-07-13 15:09:56.243744,29.752613,-95.366947,0101000020E61000006117450F7CD757C0618BDD3EABC03D40
15479623,1440,77713298,Entire home/apt,,Houston,,WESTBURY,1,0.0,12,5.0,,150.0,,The Perfect Group Getaway,2017-07-13 15:09:56.209549,29.643282,-95.493665,0101000020E6100000828B153598DF57C0001B1021AEA43D40
1948092,1440,9872065,Entire home/apt,,Houston,,GREATER UPTOWN,23,5.0,3,1.0,,160.0,,Spacious 1 bdr Galleria Are,2017-07-13 15:09:54.556323,29.745273,-95.461737,0101000020E61000009A9658198DDD57C081971936CABE3D40
16987565,1440,3521350,Entire home/apt,,Houston,,GREATER UPTOWN,0,0.0,4,1.0,,150.0,,"Close to Galleria,18 min to Stadium (9 miles )",2017-07-13 15:09:54.551892,29.740327,-95.499074,0101000020E61000002B1213D4F0DF57C08658FD1186BD3D40
18894275,1440,66218078,Entire home/apt,,Houston,,GREATER UPTOWN,1,0.0,4,2.0,,150.0,,Fully Furnished 2/2 in the Galleria,2017-07-13 15:09:53.367739,29.739682,-95.483964,0101000020E61000003F1C2444F9DE57C09B70AFCC5BBD3D40
18121980,1440,106634900,Entire home/apt,,Houston,,MUSEUM PARK,0,0.0,6,3.0,,175.0,,Beautiful 3 BR apt. MDA / NRG / Hermann Park,2017-07-13 15:09:53.359286,29.717061,-95.380785,0101000020E6100000AC730CC85ED857C0B03C484F91B73D40
13893627,1440,41220652,Entire home/apt,,Houston,,NEARTOWN - MONTROSE,9,5.0,5,2.0,,150.0,,CLOSE TO EVERYTHING Montrose Spacious 2br,2017-07-13 15:09:51.636450,29.74264,-95.407854,0101000020E6100000BDE2A9471ADA57C092B3B0A71DBE3D40
4239903,1440,21740502,Entire home/apt,,Houston,,GREATER UPTOWN,0,0.0,2,1.0,,175.0,,Executive Lodging,2017-07-13 15:09:51.631943,29.752805,-95.460206,0101000020E610000012DBDD0374DD57C0E94317D4B7C03D40
9432817,1440,858827,Entire home/apt,,Houston,,DOWNTOWN,14,5.0,6,2.0,,160.0,,2 Bed / 2 Bath Apt. Downtown Convention Center 131,2017-07-13 15:09:51.619097,29.752038,-95.354487,0101000020E6100000DCF63DEAAFD657C06859F78F85C03D40
15571173,1440,56338076,Entire home/apt,,Houston,,MID WEST,0,0.0,8,2.0,,175.0,,Prime location.,2017-07-13 15:09:51.615371,29.734393,-95.490455,0101000020E6100000384A5E9D63DF57C04D69FD2D01BC3D40
17323036,1440,69223153,Entire home/apt,,Houston,,SUNNYSIDE,0,0.0,6,3.0,,150.0,,Cozy home in heart of Med Cntr,2017-07-13 15:09:51.609946,29.674379,-95.377647,0101000020E6100000AE9B525E2BD857C0F31B261AA4AC3D40
8556189,1440,34615079,Entire home/apt,,Houston,,GREATER UPTOWN,10,4.5,6,2.0,,168.0,,A Warm Houston Home - Galleria Area,2017-07-13 15:09:49.830622,29.742379,-95.463522,0101000020E61000007FBE2D58AADD57C0B83CD68C0CBE3D40
9638607,1440,24054633,Entire home/apt,,Houston,,GREATER UPTOWN,2,0.0,3,1.0,,165.0,,GALLERIA HIGHRISE With PARKING,2017-07-13 15:09:49.822919,29.740892,-95.467548,0101000020E6100000DA53724EECDD57C037DE1D19ABBD3D40
14088048,1440,2684533,Entire home/apt,,Houston,,MEDICAL CENTER AREA,0,0.0,4,1.0,,155.0,,Hermann Park Medical 1 bedroom w/ Study 554,2017-07-13 15:09:49.815061,29.716188,-95.381873,0101000020E61000006D8E739B70D857C0A3C9C51858B73D40
16946281,1440,68656892,Entire home/apt,,Houston,,MACGREGOR,0,0.0,2,1.0,,165.0,,Extreme Comfort MedCenter Home,2017-07-13 15:09:49.810610,29.702856,-95.367556,0101000020E6100000B5DC990986D757C021CCED5EEEB33D40
13377770,1440,76010956,Entire home/apt,,Houston,,GREATER UPTOWN,2,0.0,6,2.0,,175.0,,Uptown Apartment,2017-07-13 15:09:48.411471,29.751426,-95.46034,0101000020E61000009A42E73576DD57C0355D4F745DC03D40
15740389,1440,98841672,Entire home/apt,,Houston,,MACGREGOR,7,5.0,7,3.0,,142.0,,"Medical Center, Museum District, NRG Stadium",2017-07-13 15:09:44.394280,29.702368,-95.383026,0101000020E610000022E17B7F83D857C0C6C1A563CEB33D40
13328783,1440,2917064,Entire home/apt,,Houston,,MEYERLAND AREA,3,4.5,8,3.0,,150.0,,"Cozy modern home near the Med Center, Galleria",2017-07-13 15:09:44.389381,29.673013,-95.468289,0101000020E6100000E6046D72F8DD57C069C878944AAC3D40
18993312,1440,107678704,Entire home/apt,,Houston,,GREATER UPTOWN,0,0.0,6,3.0,,175.0,,"The Hideout """,2017-07-13 15:09:43.066717,29.738611,-95.462097,0101000020E61000001AA54BFF92DD57C04277499C15BD3D40
6244243,1440,32418192,Entire home/apt,,Houston,,NEARTOWN - MONTROSE,57,5.0,6,2.0,,169.0,,Right in the heart of Houston,2017-07-13 15:09:43.063862,29.750045,-95.408253,0101000020E61000009CDF30D120DA57C04087F9F202C03D40
